Time,Epochs,BatchSize,RoBERTa_LR,GCN_Dim,GCN_Layers,Dropout,use_GCN,use_Attn,use_Real_Adj,Best_Val_F1,Test_F1,Test_Precision,Test_Recall,,,,,,,
2026/6/10 17:54,100,32,2.00E-05,300,3,0.1,1,1,1,0.6492,0.6702,0.6667,0.6738,,,,,,,
2026/6/10 18:42,100,32,2.00E-05,300,5,0.1,1,1,1,0.6466,0.6587,0.6518,0.6658,,,,,,,
2026/6/10 19:50,100,32,2.00E-05,300,1,0.1,1,1,1,0.6618,0.6879,0.6834,0.6925,,,,,,,
2026/6/10 21:05,100,32,2.00E-05,768,3,0.1,1,1,1,0.6676,0.6789,0.6633,0.6952,,,,,,,
2026/6/10 22:40,100,32,2.00E-05,300,3,0.0001,1,1,1,0.6471,0.6545,0.6364,0.6738,,,,,,,
1900/1/0 0:00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,,,,,,,
2026/6/10 23:51,100,32,2.00E-05,300,3,0.1,1,1,1,0.5975,0.5684,0.566,0.5708,,,,,,,
2026/6/11 0:23,100,32,2.00E-05,300,5,0.1,1,1,1,0.5553,0.5439,0.5427,0.5451,,,,,,,
2026/6/11 0:54,100,32,2.00E-05,300,1,0.1,1,1,1,0.6038,0.5708,0.5708,0.5708,,,,,,,
2026/6/11 1:26,100,32,2.00E-05,768,3,0.1,1,1,1,0.5819,0.5467,0.5668,0.5279,,,,,,,
2026/6/11 1:58,100,32,2.00E-05,300,3,0.0001,1,1,1,0.5805,0.524,0.5333,0.515,,,,,,,
1900/1/1 0:00,1,1,1.00E+00,1,1,1,1,1,1,1,1,1,1,,,,,,,
2026/6/11 21:30,100,32,2.00E-05,300,1,0.1,1,1,1,0.6349,0.6074,0.614,0.6009,,加了动态,,,,,
2026/6/11 21:38,20,32,2.00E-05,300,1,0.1,1,0,1,0.6286,0.6078,0.5827,0.6352,,删掉了attention,,,,,后续attention一直没开
2026/6/11 21:45,20,32,2.00E-05,300,1,0.1,0,0,1,0.649,0.6274,0.6157,0.6395,,都没要,学习率10,,,,
2026/6/11 22:02,20,32,2.00E-05,300,1,0.1,0,0,1,0.6405,0.6331,0.6189,0.6481,,,学习率100,,,,
2026/6/11 22:13,20,32,2.00E-05,300,1,0.1,0,0,1,0.6462,0.6387,0.6255,0.6524,,,复现,,,,
2026/6/11 22:39,20,32,2.00E-05,300,1,0.1,1,0,1,0.639,0.6055,0.6017,0.6094,,加了GCN+1,,改了维度无效,,,
2026/6/11 23:25,20,32,2.00E-05,300,1,0.1,1,0,1,0.6331,0.5768,0.5582,0.5966,,做分词链接，消除spacy和Roberta之间差异,,,,,
2026/6/12 12:59,20,32,2.00E-05,300,1,0.1,1,0,1,0.6322,0.6025,0.5878,0.618,,滑窗图,,,,,
2026/6/12 13:13,20,32,2.00E-05,300,1,0.1,1,0,1,0.6215,0.6141,0.5944,0.6352,,,gat+滑窗图,,,,
2026/6/12 13:36,20,32,2.00E-05,300,1,0.1,1,0,1,0.6397,0.6141,0.6102,0.618,,bilstm,,,,,
2026/6/12 14:41,20,32,2.00E-05,300,1,0.1,1,0,1,0.6279,0.5786,0.5656,0.5923,,复现分词链接,,,,,
2026/6/12 14:55,20,32,2.00E-05,300,1,0.1,1,0,1,0.6275,0.6025,0.5878,0.618,,复现GCN+1,,,,,
2026-06-12 15:04:14,20,32,2e-05,300,1,0.1,0,0,1,0.6460,0.6461,0.6206,0.6738
